date,center,resource_code,resource_name,stock_qty,sales_qty,stock_available,pending_FC,stock_expected,stock_processing,stock_readytoship,snap_time
2025-09-19,태광KR,BA00033_SET,스위밍풀토너[2ml|100EA|샤쉐/-],114,0,,,,,,
2025-09-19,태광KR,BA00034,바쿠치올플럼핑세럼[샤쉐|2ml/-],"30,177",0,,,,,,
2025-09-19,태광KR,BA00034_SET,바쿠치올플럼핑세럼[2ml|100EA|샤쉐/-],57,0,,,,,,
2025-09-19,태광KR,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],"5,894",0,,,,,,
2025-09-19,태광KR,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],"6,986",0,,,,,,
2025-09-19,태광KR,BA00037,콜라겐 하이드로겔 마스크[1EA|30g/타이트업],154,0,,,,,,
2025-09-19,태광KR,BA00038,콜라겐 하이드로겔 마스크[1EA|30g/글로우업],397,0,,,,,,
2025-09-19,태광KR,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"3,768",0,,,,,,
2025-09-19,태광KR,BA00041,비타민일루미네이팅세럼[샤쉐|2ml/-],"28,069",0,,,,,,
2025-09-19,태광KR,BA00041_SET,비타민일루미네이팅세럼[2ml|100EA|샤쉐/-],83,0,,,,,,
2025-09-19,태광KR,BA00042,콜라겐 하이드로겔 마스크[10EA|30g/타이트업],99,0,,,,,,
2025-09-19,태광KR,BA00043,콜라겐 하이드로겔 마스크[10EA|30g/글로우업],12,0,,,,,,
2025-09-19,태광KR,BA00045,알로에PDRN카밍세럼[30ml/알로에PDRN],"75,404",0,,,,,,
2025-09-19,태광KR,BA00046,히알토인플러딩세럼[30ml/히알토인],"77,633",0,,,,,,
2025-09-19,태광KR,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"77,061",0,,,,,,
2025-09-19,태광KR,BA00049,(SET)스위밍풀토너스페셜세트[토너|455ml/토너300ml+토너155ml],"2,400",0,,,,,,
2025-09-19,태광KR,BA10001,(AMZ)토너[300ml/-],141,0,,,,,,
2025-09-19,태광KR,BA10010,(AMZ)딥크림[70ml/-],1,0,,,,,,
2025-09-19,태광KR,BA10019,(AMZ)데일리글로우클렌저[210ml/-],29,0,,,,,,
2025-09-19,태광KR,BA10021,(AMZ)바쿠치올플럼핑세럼[30ml/-],65,0,,,,,,
2025-09-19,태광KR,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],1,0,,,,,,
2025-09-20,AMZUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"41,940",400,41940,0,0,0,0,
2025-09-20,AMZUS,BA00022,비타민일루미네이팅세럼[30ml/-],"145,142","2,304",145142,0,0,0,0,
2025-09-20,AMZUS,BA00023,스위밍풀토너[300ml/-],"24,350",193,24350,0,0,0,0,
2025-09-20,AMZUS,BA00024,스위밍풀토너[155ml/-],468,0,468,0,0,0,0,
2025-09-20,AMZUS,BA00025,스위밍풀토너패드[220ml|70매/-],"1,330",17,1330,0,0,0,0,
2025-09-20,AMZUS,BA00026,스위밍풀앰플[50ml/-],218,0,218,0,0,0,0,
2025-09-20,AMZUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"4,149",2,4149,0,0,0,0,
2025-09-20,AMZUS,BA00028,퍼플PDRN포어세럼[30ml/-],"2,975",14,2975,0,0,0,0,
2025-09-20,AMZUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"2,170",1,2170,0,0,0,0,
2025-09-20,AMZUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"8,038",15,8038,0,0,0,0,
2025-09-20,AMZUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"12,166",52,12166,0,0,0,0,
2025-09-20,AMZUS,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],"1,828",0,1828,0,0,0,0,
