id,lot,cogs,stock,stock2,barcode,option1,option2,shop_id,category,brand_name,created_at,updated_at,input_stock,output_stock,reserve_stock,resource_code,resource_name,snapshot_date,available_stock,fba_input_stock,promotion_stock,boosters_item_id,fba_output_stock,output_stock_b2b,output_stock_toll,output_stock_sales,acrossb_input_stock,fba_available_stock,acrossb_output_stock,promotion_stock_info,poomgo_v2_input_stock,shopee_my_input_stock,shopee_ph_input_stock,shopee_sg_input_stock,delivery_waiting_stock,poomgo_v2_output_stock,shopee_my_output_stock,shopee_ph_output_stock,shopee_sg_output_stock,acrossb_available_stock,poomgo_v2_available_stock,shopee_my_available_stock,shopee_ph_available_stock,shopee_sg_available_stock
1944867,이관미대상,3947,0,0,8809554962626,클렌징오일,200ml/-,38,,이퀄베리,2025-06-24T19:09:45.000Z,2025-06-24T19:09:45.000Z,0,0,0,BA00012,이퀄베리-클렌징오일[200ml/-],2025-09-19,0,0,0,628,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746544,R0,418,132,132,202311301204,클렌징오일 펌프,200ml/-,38,,이퀄베리,2025-03-23T06:31:54.000Z,2025-09-19T03:36:56.000Z,0,0,0,BA00012-1,이퀄베리-클렌징오일[200ml]_펌프,2025-09-19,0,0,0,694,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945875,R0,3740,0,0,202310170517,장바구니,-/-,38,,이퀄베리,2025-06-24T19:10:20.000Z,2025-06-24T19:10:20.000Z,0,0,0,BA00015,이퀄베리-장바구니,2025-09-19,0,0,0,637,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945299,이관미대상,3740,0,0,202310121900,장바구니,-/-,38,,이퀄베리,2025-06-24T19:09:52.000Z,2025-06-24T19:09:52.000Z,0,0,0,BA00015,이퀄베리-장바구니,2025-09-19,0,0,0,631,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946633,R0,8391,0,0,8809408261202,클렌저세트,200ml*2/-,38,,이퀄베리,2025-06-24T19:10:49.000Z,2025-06-24T19:10:49.000Z,0,0,0,BA00016,이퀄베리-(SET)클렌저세트[200ml*2/-],2025-09-19,0,0,0,645,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944723,이관미대상,8391,0,0,8809408261202,클렌저세트,200ml*2/-,38,,이퀄베리,2025-06-24T19:09:43.000Z,2025-06-24T19:09:43.000Z,0,0,0,BA00016,이퀄베리-(SET)클렌저세트[200ml*2/-],2025-09-19,0,0,0,627,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945731,R0,2640,0,0,8809554962268,앰플,50ml/-,38,,이퀄베리,2025-06-24T19:10:11.000Z,2025-06-24T19:10:11.000Z,0,0,0,BA00017,이퀄베리-앰플[50ml/-],2025-09-19,0,0,0,636,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944435,이관미대상,2639,0,0,8809554962268,앰플,50ml/-,38,,이퀄베리,2025-06-24T19:09:38.000Z,2025-06-24T19:09:38.000Z,0,0,0,BA00017,이퀄베리-앰플[50ml/-],2025-09-19,0,0,0,625,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945587,이관미대상,2639,0,0,8809554962268,앰플,50ml/-,38,,이퀄베리,2025-06-24T19:09:57.000Z,2025-06-24T19:09:57.000Z,0,0,0,BA00017,이퀄베리-앰플[50ml/-],2025-09-19,0,0,0,633,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094391,R0,3773,1233,1233,8809875453766,클렌저,210ml/-,38,,이퀄베리,2025-07-24T13:14:37.000Z,2025-09-19T04:16:11.000Z,0,0,0,BA00019,이퀄베리-데일리글로우클렌저[210ml/-],2025-09-19,0,0,0,1722,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
